name	sex	wikipedia_url	jsp_url	recording_url	birth_date	birth_date_md	best_birth_date	best_birth_year	best_birth_month	best_birth_day	death_date	death_date_md	best_death_date	best_death_year	best_death_month	best_death_day	date	date_md	best_date	best_year	best_month	best_day	tagline	tagline_md	office	outcome	outcome_md	for	alt_for	notes	notes_md	+notes	+notes_md	unit	unit_md	location	location_md	friendly_location	country	adm1	adm2	adm3	adm4	best_location	best_country	best_adm1	best_adm2	best_adm3	best_adm4	sections	tags	birth_place	birth_place_md	rebaptism_date	rebaptism_date_md	baptism_date	baptism_date_md
John F. Boynton	male	https://en.wikipedia.org/wiki/John_F._Boynton			20 Sep 1811	20 Sep 1811	20 Sep 1811	1811.0	Sep	20.0	20 Oct 1890	20 Oct 1890	20 Oct 1890	1890.0	Oct	20.0	3 Sep 1837	3 Sep 1837	3 Sep 1837	1837	Sep	3.0	Original member of the Quorum of the Twelve Apostles, geologist, inventor	Original member of the Quorum of the Twelve Apostles, geologist, inventor		disfellowshipped	disfellowshipped			"Disfellowshipped by conference vote. He was a founding member of the Quorum of the Twelve Apostles who grew dissatisfied after the failure of the Kirtland Safety Society. Reinstated a week later. Repeatedly disfellowshipped (along with numerous others) for ""dancing with the world"" and attending balls."	"[Disfellowshipped by conference vote](https://www.josephsmithpapers.org/paper-summary/minute-book-1/239). He was a founding member of the Quorum of the Twelve Apostles who grew dissatisfied after the failure of the Kirtland Safety Society. [Reinstated a week later](https://www.josephsmithpapers.org/paper-summary/minute-book-1/244). [Repeatedly disfellowshipped](https://www.josephsmithpapers.org/paper-summary/minute-book-1/255) (along with numerous others)<!--TODO--> for ""dancing with the world"" and [attending balls](https://www.josephsmithpapers.org/paper-summary/minute-book-1/260)."					Kirtland, Lake, Ohio, United States	Kirtland, Lake, Ohio, United States	Kirtland, Ohio	United States	Ohio	Lake	Kirtland		Kirtland, Lake, Ohio, United States	United States	Ohio	Lake	Kirtland		['19th Century']							
Luke Johnson	male	https://en.wikipedia.org/wiki/Luke_Johnson_(Mormon)			3 Nov 1807	3 Nov 1807	3 Nov 1807	1807.0	Nov	3.0	9 Dec 1861	9 Dec 1861	9 Dec 1861	1861.0	Dec	9.0	3 Sep 1837	3 Sep 1837	3 Sep 1837	1837	Sep	3.0	Original member of the Quorum of the Twelve Apostles	Original member of the Quorum of the Twelve Apostles		disfellowshipped	disfellowshipped			Disfellowshipped for reasons not given but likely in connection with the failure of the Kirtland Safety Society. Reinstated a week later.	[Disfellowshipped](https://www.josephsmithpapers.org/paper-summary/minute-book-1/239) for reasons not given but likely in connection with the failure of the Kirtland Safety Society. Reinstated [a week later](https://www.josephsmithpapers.org/paper-summary/minute-book-1/244).					Kirtland, Lake, Ohio, United States	Kirtland, Lake, Ohio, United States	Kirtland, Ohio	United States	Ohio	Lake	Kirtland		Kirtland, Lake, Ohio, United States	United States	Ohio	Lake	Kirtland		['19th Century']							
Lyman E. Johnson	male	https://en.wikipedia.org/wiki/Lyman_E._Johnson			24 Oct 1811	24 Oct 1811	24 Oct 1811	1811.0	Oct	24.0	20 Dec 1859	20 Dec 1859	20 Dec 1859	1859.0	Dec	20.0	3 Sep 1837	3 Sep 1837	3 Sep 1837	1837	Sep	3.0				disfellowshipped	disfellowshipped			Disfellowshipped for reasons not given but likely in connection with the failure of the Kirtland Safety Society. Reinstated a week later.	[Disfellowshipped](https://www.josephsmithpapers.org/paper-summary/minute-book-1/239) for reasons not given but likely in connection with the failure of the Kirtland Safety Society. Reinstated [a week later](https://www.josephsmithpapers.org/paper-summary/minute-book-1/244).					Kirtland, Lake, Ohio, United States	Kirtland, Lake, Ohio, United States	Kirtland, Ohio	United States	Ohio	Lake	Kirtland		Kirtland, Lake, Ohio, United States	United States	Ohio	Lake	Kirtland		['19th Century']							
Roger Orton	male	https://en.wikipedia.org/wiki/Roger_Orton			1799	1799	1799	1799.0			1851	1851	1851	1851.0			30 Nov 1837	30 Nov 1837	30 Nov 1837	1837	Nov	30.0	Deadbeat president of the Seventy	Deadbeat president of the Seventy		excommunicated	excommunicated	['abusing Elder Brigham Young', 'a general course of unchristian like conduct', 'showing contempt to the authorities of the church']		"Excommunicated ""for abusing Elder Brigham Young"" and a ""general course of unchristian like conduct"", and also for ""showing contempt to the authorities of the church"". He was later reinstated and appointed to the presidency of the Seventy around 1844 but did not accept the calling. He did not go to Utah but died in Iowa."	"[Excommunicated ""for abusing Elder Brigham Young""](https://www.josephsmithpapers.org/paper-summary/minute-book-1/268) and a [""general course of unchristian like conduct"", and also for ""showing contempt to the authorities of the church""](https://www.josephsmithpapers.org/paper-summary/minute-book-1/269). He was later reinstated and [appointed to the presidency of the Seventy around 1844](https://www.josephsmithpapers.org/person/roger-orton) but did not accept the calling. He did not go to Utah but died in Iowa."					Kirtland, Lake, Ohio, United States	Kirtland, Lake, Ohio, United States	Kirtland, Ohio	United States	Ohio	Lake	Kirtland		Kirtland, Lake, Ohio, United States	United States	Ohio	Lake	Kirtland		['19th Century']							
Warren Parrish	male	https://en.wikipedia.org/wiki/Warren_Parrish	https://www.josephsmithpapers.org/person/warren-farr-parrish		10 Jan 1803	10 Jan 1803	10 Jan 1803	1803.0	Jan	10.0	3 Jan 1877	3 Jan 1877	3 Jan 1877	1877.0	Jan	3.0	Dec 1837	Dec 1837	Dec 1837	1837	Dec		Seventy, accused embezzler, dissident	Seventy, accused embezzler, dissident		excommunicated	excommunicated			Excommunicated while leading a group of dissidents opposed to Joseph Smith. He had been accused of embezzling from the Kirtland Safety Society and thus participating in its downfall.	[Excommunicated while leading a group of dissidents opposed to Joseph Smith](https://www.josephsmithpapers.org/person/warren-farr-parrish). He had been accused of embezzling from the Kirtland Safety Society and thus participating in its downfall.																			['19th Century']							
Leonard Rich	male	https://en.wikipedia.org/wiki/Leonard_Rich	https://www.josephsmithpapers.org/person/leonard-rich?highlight=Leonard%20Rich		1800	1800	1800	1800.0			1868	1868	1868	1868.0			Dec 1837	Dec 1837	Dec 1837	1837	Dec		Inaugural member of the Seven Presidents of Seventy	Inaugural member of the Seven Presidents of Seventy		excommunicated	excommunicated			"Excommunicated after joining a group of dissenters led by fellow excommunicant Warren Parrish, attempting to restore the church to its prior form as the ""Church of Christ""."	"Excommunicated after joining a group of dissenters led by fellow excommunicant Warren Parrish, attempting to restore the church to its prior form as the ""Church of Christ""."																			['19th Century']							
Luke Johnson	male	https://en.wikipedia.org/wiki/Luke_Johnson_(Mormon)	https://www.josephsmithpapers.org/person/luke-johnson		3 Nov 1807	3 Nov 1807	3 Nov 1807	1807.0	Nov	3.0	9 Dec 1861	9 Dec 1861	9 Dec 1861	1861.0	Dec	9.0	1838	1838	1838	1838			Original member of the Quorum of the Twelve Apostles	Original member of the Quorum of the Twelve Apostles		excommunicated	excommunicated			Excommunicated. He was rebaptized in 1846 and journeyed to Utah where he lived the rest of his life.	[Excommunicated](https://www.josephsmithpapers.org/person/luke-johnson). He was rebaptized in 1846 and journeyed to Utah where he lived the rest of his life.																			['19th Century']							
Harvey G. Whitlock	male	https://en.wikipedia.org/wiki/Harvey_G._Whitlock	https://www.josephsmithpapers.org/person/harvey-gilman-whitlock		1809	1809	1809	1809.0			after 1880	after 1880	1880	1880.0			1838?	1838?	1838	1838			Early Mormon physician, Book of Commandments witness	Early Mormon physician, Book of Commandments witness		excommunicated	excommunicated			"Presumably excommunicated after he ""withdrew"" from the church as he was rebaptized in 1858. The ""Journal History of the Church"" in 1859 reported that he had ""apostatized"" in 1838 and ""went with Geo[rge] M. Hinkle"", the later- excommunicated militia leader who turned Joseph Smith over to the Missourians."	"[Presumably excommunicated](https://www.josephsmithpapers.org/person/harvey-gilman-whitlock) after he ""withdrew"" from the church as he was rebaptized in 1858. The ""Journal History of the Church"" in 1859 [reported](https://catalog.churchofjesuschrist.org/assets?id=6356ac4d-c36f-483c-b90e-37ce4fa02547&crate=0&index=266) that he had ""apostatized"" in 1838 and ""went with Geo\[rge\] M. Hinkle"", the later-excommunicated militia leader who turned Joseph Smith over to the Missourians."																			['19th Century']							
John Gaylord	male	https://en.wikipedia.org/wiki/John_Gaylord			12 Jul 1797	12 Jul 1797	12 Jul 1797	1797.0	Jul	12.0	17 Jul 1874	17 Jul 1874	17 Jul 1874	1874.0	Jul	17.0	13 Jan 1838	13 Jan 1838	13 Jan 1838	1838	Jan	13.0	Member of the Presidency of the Seventy	Member of the Presidency of the Seventy		excommunicated	excommunicated	rising up in rebellion against the church		"Excommunicated for ""rising up in rebellion against the church"", reportedly due to his bitterness over the failure of the Kirtland Safety Society. He later reunited with the church, following James J. Strang after Joseph Smith's death, and joining the Reorganized Church of Jesus Christ of Latter Day Saints upon Strang's death."	"[Excommunicated for ""rising up in rebellion against the church""](https://www.josephsmithpapers.org/back/general-church-officers-october-1835-january-1838), reportedly due to his bitterness over the failure of the Kirtland Safety Society. He later reunited with the church, following James J. Strang after Joseph Smith's death, and joining the Reorganized Church of Jesus Christ of Latter Day Saints upon Strang's death."																			['19th Century']							
John Whitmer	male	https://en.wikipedia.org/wiki/John_Whitmer	https://www.josephsmithpapers.org/person/john-whitmer		27 Aug 1802	27 Aug 1802	27 Aug 1802	1802.0	Aug	27.0	11 Jul 1878	11 Jul 1878	11 Jul 1878	1878.0	Jul	11.0	10 Mar 1838	10 Mar 1838	10 Mar 1838	1838	Mar	10.0	One of the Eight Witnesses of the Book of Mormon	One of the Eight Witnesses of the Book of Mormon		excommunicated	excommunicated	persisting in unchristian like conduct		"Excommunicated alongside W. W. Phelps for ""persisting in unchristian like conduct"". The minutes of the Far West High Council recorded: ""After some remarks by Presidents Marsh & Patten, setting forth the iniquity of those men, in claiming the $2.000 spoken of, which did not belong to them any more than any other person in the church; it was decided that William W. Phelps and John Whitmer be no longer members of the church of Christ of Latter Day Saints, & be given over to the buffetings of Satan, until they learn to blaspheme no more against the authorities of God, nor fleece the flock of Christ."" He was driven from Far West along with other ""dissenters"". After Joseph Smith's death he supported his brother's (David Whitmer's) claim to church leadership."	"[Excommunicated alongside W. W. Phelps for ""persisting in unchristian like conduct""](https://www.josephsmithpapers.org/paper-summary/minute-book-2/110). The minutes of the Far West High Council recorded: ""After some remarks by Presidents Marsh & Patten, setting forth the iniquity of those men, in claiming the $2.000 spoken of, which did not belong to them any more than any other person in the church; it was decided that William W. Phelps and John Whitmer be no longer members of the church of Christ of Latter Day Saints, & be given over to the buffetings of Satan, until they learn to blaspheme no more against the authorities of God, nor fleece the flock of Christ."" He was driven from Far West along with other ""dissenters"". After Joseph Smith's death he supported his brother's (David Whitmer's) claim to church leadership."					Far West, Caldwell, Missouri, United States	Far West, Caldwell, Missouri, United States	Far West, Missouri	United States	Missouri	Caldwell	Far West		Far West, Caldwell, Missouri, United States	United States	Missouri	Caldwell	Far West		['19th Century']							
W. W. Phelps	male	https://en.wikipedia.org/wiki/W._W._Phelps_(Mormon)	https://www.josephsmithpapers.org/person/william-wines-phelps		17 Feb 1792	17 Feb 1792	17 Feb 1792	1792.0	Feb	17.0	7 Mar 1872	7 Mar 1872	7 Mar 1872	1872.0	Mar	7.0	10 Mar 1838	10 Mar 1838	10 Mar 1838	1838	Mar	10.0	Printer and hymnist	Printer and hymnist		excommunicated	excommunicated	persisting in unchristian like conduct		"Excommunicated alongside John Whitmer for ""persisting in unchristian like conduct"", specifically for alleged mishandling of Far West land, and temple donations."	"[Excommunicated alongside John Whitmer for ""persisting in unchristian like conduct""](https://www.josephsmithpapers.org/paper-summary/minute-book-2/110), specifically for alleged mishandling of Far West land, and temple donations."					Far West, Caldwell, Missouri, United States	Far West, Caldwell, Missouri, United States	Far West, Missouri	United States	Missouri	Caldwell	Far West		Far West, Caldwell, Missouri, United States	United States	Missouri	Caldwell	Far West		['19th Century']							
Oliver Cowdery	male	https://en.wikipedia.org/wiki/Oliver_Cowdery			3 Oct 1806	3 Oct 1806	3 Oct 1806	1806.0	Oct	3.0	3 Mar 1850	3 Mar 1850	3 Mar 1850	1850.0	Mar	3.0	12 Apr 1838	12 Apr 1838	12 Apr 1838	1838	Apr	12.0	Book of Mormon Witness, Apostle, Second Elder, Assistant President	Book of Mormon Witness, Apostle, Second Elder, Assistant President		excommunicated	excommunicated	numerous charges		"Excommunicated on six different charges, including his accusation that Joseph Smith was an adulterer due to his relationship with Fanny Alger which Cowdery termed a ""dirty, nasty, filthy affair"". He was rebaptized into the LDS church in 1848."	"[Excommunicated](https://www.josephsmithpapers.org/paper-summary/journal-march-september-1838/17) [on six different charges, including his accusation that Joseph Smith was an adulterer](https://www.josephsmithpapers.org/paper-summary/journal-march-september-1838/16) due to his relationship with Fanny Alger which Cowdery termed a ""dirty, nasty, filthy affair"". He was rebaptized into the LDS church in 1848."					Far West, Caldwell, Missouri, United States	Far West, Caldwell, Missouri, United States	Far West, Missouri	United States	Missouri	Caldwell	Far West		Far West, Caldwell, Missouri, United States	United States	Missouri	Caldwell	Far West		['19th Century']							
Lyman E. Johnson	male	https://en.wikipedia.org/wiki/Lyman_E._Johnson			24 Oct 1811	24 Oct 1811	24 Oct 1811	1811.0	Oct	24.0	20 Dec 1859	20 Dec 1859	20 Dec 1859	1859.0	Dec	20.0	13 Apr 1838	13 Apr 1838	13 Apr 1838	1838	Apr	13.0				excommunicated	excommunicated	numerous charges		"Excommunicated in Far West on seven different charges, including ""virtually denying the faith of the Church of Christ of Latter Day saints, by vindicating the cause of the enemies of this Church, who are dissenters from us"", ""seeking to injure the character of Joseph Smith jr"", and ""taking whiskey and making Weldon drink & then cheating him out of his property"". The minutes record that ""After some few appropriate remarks, by the Councellors, it was decided by the President that Lyman E. Johnson be no longer considered a member of the Church of Christ of Latter Day Saints, nor a member of the Quorum of the twelve Apostles of the Lamb and also be given over to the buffetings of Satan untill he learns to blaspheme no more against the authorities of God."""	"[Excommunicated](https://www.josephsmithpapers.org/paper-summary/minute-book-2/134) in Far West on [seven different charges](https://www.josephsmithpapers.org/paper-summary/minute-book-2/130), including ""virtually denying the faith of the Church of Christ of Latter Day saints, by vindicating the cause of the enemies of this Church, who are dissenters from us"", ""seeking to injure the character of Joseph Smith jr"", and ""taking whiskey and making Weldon drink & then cheating him out of his property"". The minutes record that ""After some few appropriate remarks, by the Councellors, it was decided by the President that Lyman E. Johnson be no longer considered a member of the Church of Christ of Latter Day Saints, nor a member of the Quorum of the twelve Apostles of the Lamb and also be given over to the buffetings of Satan untill he learns to blaspheme no more against the authorities of God."""					Far West, Caldwell, Missouri, United States	Far West, Caldwell, Missouri, United States	Far West, Missouri	United States	Missouri	Caldwell	Far West		Far West, Caldwell, Missouri, United States	United States	Missouri	Caldwell	Far West		['19th Century']							
